task,step,reward,planning,memory,recovery,terminal,loss
cascading-platform-failure,1,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,2,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,3,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,4,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,5,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,6,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,7,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,8,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,9,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,10,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,11,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,12,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,13,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,14,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,15,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,16,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,17,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,18,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,19,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,20,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,21,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,22,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,23,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,24,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,25,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,26,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,27,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,28,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,29,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,30,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,31,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,32,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,33,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,34,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,35,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,36,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,37,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,38,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,39,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,40,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,41,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,42,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,43,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,44,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,45,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,46,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,47,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,48,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,49,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,50,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,51,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,52,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,53,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,54,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,55,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,56,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,57,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,58,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,59,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,60,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,61,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,62,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,63,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,64,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,65,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,66,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,67,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,68,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,69,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,70,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,71,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,72,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,73,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,74,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,75,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,76,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,77,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,78,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,79,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,80,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,81,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,82,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,83,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,84,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,85,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,86,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,87,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,88,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,89,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,90,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,91,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,92,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,93,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,94,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,95,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,96,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,97,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,98,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,99,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,100,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,101,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,102,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,103,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,104,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,105,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,106,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,107,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,108,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,109,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,110,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,111,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,112,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,113,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,114,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,115,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,116,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,117,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
cascading-platform-failure,118,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,119,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,120,0.068000,0.000000,0.000000,0.000000,0.000000,0.932000
cascading-platform-failure,121,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,122,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,123,0.038000,0.000000,0.000000,0.000000,0.000000,0.962000
cascading-platform-failure,124,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,125,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,126,0.078000,1.000000,0.000000,0.000000,0.000000,0.922000
cascading-platform-failure,127,0.158000,1.000000,0.000000,0.000000,0.000000,0.842000
cascading-platform-failure,128,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,129,0.098000,1.000000,0.000000,0.000000,0.000000,0.902000
cascading-platform-failure,130,0.074000,0.750000,0.000000,0.000000,0.989899,0.926000
single-service-alert,1,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,2,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,3,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,4,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,5,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,6,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,7,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,8,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,9,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,10,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,11,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,12,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,13,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,14,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,15,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,16,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,17,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,18,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,19,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,20,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,21,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,22,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,23,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,24,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,25,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,26,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,27,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,28,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,29,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,30,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,31,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,32,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,33,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,34,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,35,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,36,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
single-service-alert,37,0.080000,0.000000,0.000000,0.000000,0.000000,0.920000
single-service-alert,38,0.100000,0.000000,0.000000,0.000000,0.000000,0.900000
single-service-alert,39,0.200000,1.000000,0.000000,0.000000,0.000000,0.800000
single-service-alert,40,0.250000,1.000000,0.000000,0.000000,0.636364,0.750000
