episode,task,mean_reward,grpo_loss,baseline_val,elapsed_sec,timestamp
1,single-service-alert,0.0865,-0.608025,0.0865,5.9,2026-04-26T06:10:16.066772
2,ambiguous-incident,0.0205,0.03652,0.0205,14.0,2026-04-26T06:10:24.129729
3,cascading-failure,0.0553,-0.10245,0.0553,24.8,2026-04-26T06:10:34.933776
4,memory-leak,0.1376,-0.798115,0.1376,29.6,2026-04-26T06:10:39.753243
5,single-service-alert,0.17,-0.651058,0.17,32.3,2026-04-26T06:10:42.440000
6,ambiguous-incident,0.0259,0.377342,0.0259,41.9,2026-04-26T06:10:51.990484
7,cascading-failure,0.0489,-0.588541,0.0489,53.1,2026-04-26T06:11:03.242833
8,memory-leak,0.1288,0.040737,0.1288,55.4,2026-04-26T06:11:05.523915
9,single-service-alert,0.1335,-1.25572,0.1335,63.2,2026-04-26T06:11:13.340431
10,ambiguous-incident,0.0209,0.831714,0.0209,77.1,2026-04-26T06:11:27.246646
11,cascading-failure,0.045,0.61856,0.045,97.2,2026-04-26T06:11:47.278456
12,memory-leak,0.1662,-0.7639,0.1662,99.4,2026-04-26T06:11:49.526387
13,single-service-alert,0.1231,-1.3698,0.1231,107.3,2026-04-26T06:11:57.374494
14,ambiguous-incident,0.021,-0.246436,0.021,122.4,2026-04-26T06:12:12.484651
15,cascading-failure,0.0449,-0.237726,0.0449,131.0,2026-04-26T06:12:21.086587
16,memory-leak,0.1178,-0.352734,0.1178,134.1,2026-04-26T06:12:24.179249
17,single-service-alert,0.0259,1.862084,0.0259,139.7,2026-04-26T06:12:29.844137
18,ambiguous-incident,0.0191,0.594153,0.0191,148.4,2026-04-26T06:12:38.561942
19,cascading-failure,0.0436,0.429383,0.0436,159.6,2026-04-26T06:12:49.718314
20,memory-leak,0.1408,-1.45242,0.1408,164.0,2026-04-26T06:12:54.117750
21,single-service-alert,0.0627,0.805651,0.0627,177.5,2026-04-26T06:13:07.589874
22,ambiguous-incident,0.018,0.963813,0.018,187.8,2026-04-26T06:13:17.967675
23,cascading-failure,0.0301,1.303469,0.0301,195.6,2026-04-26T06:13:25.717052
24,memory-leak,0.1625,-1.897052,0.1625,199.2,2026-04-26T06:13:29.282382
25,single-service-alert,0.0983,0.184388,0.0983,204.4,2026-04-26T06:13:34.520458
26,ambiguous-incident,0.0167,0.532387,0.0167,210.9,2026-04-26T06:13:40.990875
27,cascading-failure,0.0403,0.586234,0.0403,225.5,2026-04-26T06:13:55.580820
28,memory-leak,0.1081,-1.531152,0.1081,233.2,2026-04-26T06:14:03.369978
29,single-service-alert,0.0576,0.254053,0.0576,244.0,2026-04-26T06:14:14.123773
30,ambiguous-incident,0.0259,-0.483714,0.0259,258.3,2026-04-26T06:14:28.403475
31,cascading-failure,0.0549,-0.375805,0.0549,286.3,2026-04-26T06:14:56.399409
32,memory-leak,0.0286,1.399193,0.0286,291.0,2026-04-26T06:15:01.170134
33,single-service-alert,0.065,0.828134,0.065,295.4,2026-04-26T06:15:05.532452
34,ambiguous-incident,0.0238,-0.003946,0.0238,312.5,2026-04-26T06:15:22.656935
35,cascading-failure,0.0379,1.439259,0.0379,321.5,2026-04-26T06:15:31.646226
36,memory-leak,0.0831,0.601545,0.0831,329.3,2026-04-26T06:15:39.372318
37,single-service-alert,0.1451,-1.454435,0.1451,338.3,2026-04-26T06:15:48.386255
38,ambiguous-incident,0.0285,0.547183,0.0285,351.1,2026-04-26T06:16:01.185100
39,cascading-failure,0.0373,0.936378,0.0373,360.6,2026-04-26T06:16:10.675473
40,memory-leak,0.1392,-0.296849,0.1392,364.5,2026-04-26T06:16:14.586943
41,single-service-alert,0.0557,0.333039,0.0557,375.3,2026-04-26T06:16:25.450573
42,ambiguous-incident,0.0208,0.580939,0.0208,384.0,2026-04-26T06:16:34.130809
43,cascading-failure,0.0439,0.940896,0.0439,394.7,2026-04-26T06:16:44.821107
44,memory-leak,0.0566,1.419847,0.0566,399.5,2026-04-26T06:16:49.584245
45,single-service-alert,0.1458,-1.445744,0.1458,405.5,2026-04-26T06:16:55.641809
46,ambiguous-incident,0.0242,-0.49705,0.0242,415.4,2026-04-26T06:17:05.481380
47,cascading-failure,0.0392,1.166912,0.0392,421.4,2026-04-26T06:17:11.493379
48,memory-leak,0.1496,-0.907213,0.1496,424.4,2026-04-26T06:17:14.550482
49,single-service-alert,0.1369,-0.867246,0.1369,427.5,2026-04-26T06:17:17.588069
50,ambiguous-incident,0.0139,1.528104,0.0139,436.4,2026-04-26T06:17:26.543126
51,cascading-failure,0.0563,0.438832,0.0563,463.0,2026-04-26T06:17:53.171040
52,memory-leak,0.0878,-0.567469,0.0878,470.4,2026-04-26T06:18:00.479526
53,single-service-alert,0.034,1.644165,0.034,478.5,2026-04-26T06:18:08.653301
54,ambiguous-incident,0.0202,1.874394,0.0202,487.9,2026-04-26T06:18:18.065134
55,cascading-failure,0.0618,-0.46878,0.0618,496.5,2026-04-26T06:18:26.626108
56,memory-leak,0.1694,-1.628788,0.1694,499.6,2026-04-26T06:18:29.682779
57,single-service-alert,0.1021,-0.152511,0.1021,503.9,2026-04-26T06:18:34.021712
58,ambiguous-incident,0.0212,0.879939,0.0212,522.3,2026-04-26T06:18:52.406224
59,cascading-failure,0.0329,0.63684,0.0329,529.2,2026-04-26T06:18:59.355881
60,memory-leak,0.1123,-0.64285,0.1123,536.2,2026-04-26T06:19:06.318061
61,single-service-alert,0.101,-0.855557,0.101,552.3,2026-04-26T06:19:22.376682
62,ambiguous-incident,0.0239,1.17845,0.0239,564.3,2026-04-26T06:19:34.379456
63,cascading-failure,0.0401,1.254175,0.0401,576.2,2026-04-26T06:19:46.359838
64,memory-leak,0.1283,-1.438248,0.1283,581.1,2026-04-26T06:19:51.176416
65,single-service-alert,0.0309,2.417415,0.0309,585.8,2026-04-26T06:19:55.940110
