task,step,reward,planning,memory,recovery,terminal,loss
training-loop,1,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,2,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,3,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,4,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,5,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,6,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,7,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,8,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,9,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,10,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,11,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,12,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,13,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,14,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,15,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,16,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,17,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,18,0.421917,0.000000,0.000000,0.000000,0.000000,0.310000
training-loop,19,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044100
training-loop,20,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044400
training-loop,21,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,22,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044400
training-loop,23,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,24,0.421917,0.000000,0.000000,0.000000,0.000000,-0.044100
training-loop,25,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,26,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,27,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,28,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,29,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,30,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,31,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,32,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,33,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,34,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,35,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,36,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,37,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,38,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
